Статус КИ,Фаза КИ,Города,Название ЛП,"Название организации, проводящей КИ",Номер и дата РКИ,Дата начала и окончания КИ,Терапевтическая область,Название протокола,протокол_номер
Проводится,III,"Арамиль, Екатеринбург, Ижевск, Краснодар, Москва, Новосибирск, Пермь, Рязань, Санкт-Петербург, Тверь",Дапаглифлозин (Форсига),АстраЗенека АБ,320 09.07.2018,09.07.2018 - 30.06.2022,"Кардиология, Диабетология","Международное двойное слепое рандомизированное плацебо-контролируемое исследование III фазы, проводимое с целью изучения эффекта дапаглифлозина по отношению к снижению сердечно-сосудистой смертности или ухудшению сердечной недостаточности у пациентов с сердечной недостаточностью с сохранённой фракцией выброса (СНсФВ)",Протокол D169CC00001
Проводится,IIa,"Балашиха, Казань, Москва",OBE022,ОбсЭва СА,323 10.07.2018,10.07.2018 - 30.09.2022,Акушерство и гинекология,"Двойное слепое, с параллельными группами, рандомизированное, плацебо-контролируемое исследование фазы 2a с целью подтверждения концепции путем оценки эффективности, безопасности и фармакокинетики OBE022 при пероральном применении в качестве дополнительной терапии к атозибану у беременных женщин при угрозе спонтанных преждевременных родов",Протокол 17-OBE022-003
Проводится,III,"Архангельск, Екатеринбург, Иваново, Казань, Калуга, Курск, Москва, Новосибирск, Омск, Пятигорск, Санкт-Петербург, Саранск, Сочи",Аватромбопаг (E5501),"«Дова Фармасьютикалз, Инк.»",322 10.07.2018,01.08.2018 - 01.09.2024,"Гематология, Онкология","Рандомизированное, двойное слепое, плацебо-контролируемое исследование с последующим открытым этапом, направленное на оценку эффективности и безопасности аватромбопага при лечении тромбоцитопении, вызванной химиотерапией, у пациентов с негематологическими злокачественными опухолями в активной форме",Протокол AVA-CIT-330
Проводится,II-III,"Барнаул, Великий Новгород, Екатеринбург, Казань, Москва, Нижний Новгород, Новосибирск, Омск, Подольск, Ростов-на-Дону, Самара, Санкт-Петербург, Саратов, Томск, Ульяновск",Гуселькумаб (СNTO 1959),«Янссен Фармацевтика НВ»,324 10.07.2018,21.09.2018 - 12.12.2024,Гастроэнтерология,"Протокол фазы 2/3, рандомизированного, двойного слепого, контролируемого плацебо и активным препаратом, многоцентрового исследования в параллельных группах для оценки эффективности и безопасности Гуселькумаба у пациентов с активной болезнью Крона в средне-тяжелой или тяжелой форме",Протокол CNTO1959CRD3001
Проводится,III,"Казань, Краснодар, Москва, Санкт-Петербург","Козэнтикс (Секукинумаб, AIN457)",Новартис Фарма АГ,329 11.07.2018,11.07.2018 - 31.12.2022,Дерматология,"Рандомизированное, открытое, многоцентровое исследование по оценке эффективности подкожного применения секукинумаба после 12 недель терапии, а также долгосрочной безопасности, переносимости и эффективности у пациентов в возрасте от 6 лет и не достигших 18 лет с хроническим бляшечным псориазом умеренной или тяжёлой степени тяжести",Протокол CAIN457A2311
Проводится,II,"Омск, Санкт-Петербург","Ниволумаб (Опдиво®, BMS-936558); BMS-986205","«Бристол-Майерс Сквибб Компани», США, подразделение «Бристол-Майерс Сквибб Интернешнл Корпорэйшн», Бельгия.",331 12.07.2018,01.09.2018 - 31.12.2022,Онкология,"Открытое, рандомизированное исследование ниволумаба или комбинации ниволумаба и BMS-986205 в сочетании с внутрипузырным введением БЦЖ и без него у пациентов с мышечно-неинвазивным раком мочевого пузыря высокого риска при неэффективности терапии БЦЖ. Фаза 2.",Протокол CA209-9UT
Проводится,III,"Архангельск, Курск, Москва, Обнинск, Омск, Оренбург, Пятигорск, Санкт-Петербург, Саранск, Сочи, Уфа",Рукапариб; Ниволумаб (BMS-936558),"Кловис Онколоджи, Инк.",336 16.07.2018,01.08.2018 - 31.08.2028,Онкология,"Многоцентровое, рандомизированное, двойное слепое, плацебо-контролируемое клиническое исследование III фазы с целью оценки поддерживающей терапии рукапарибом и ниволумабом после ответа на платиносодержащую химиотерапию первой линии при раке яичника",Протокол СО-338-087 (ATHENA)
Проводится,I,"Архангельск, Барнаул, Волгоград, Екатеринбург, Казань, Красноярск, Москва, Мурманск, Новосибирск, Омск, Санкт-Петербург, Тюмень, Челябинск",CK-301,"Чекпоинт Терапьютикс, Инк.",344 18.07.2018,18.07.2018 - 31.12.2022,Онкология,Открытое многоцентровое исследование I фазы с эскалацией дозы препарата CK-301 при внутривенном введении в режиме монотерапии пациентам с распространенными злокачественными опухолями,Протокол CK-301-101
Проводится,III,"Архангельск, Казань, Кемерово, Краснодар, Красноярск, Курск, Москва, Новосибирск, Санкт-Петербург, Саратов, Смоленск, Томск, Челябинск",Апроцитентан (ACT-132577),"Идорсиа Фармасьютикалс Лтд/ Idorsia Pharmaceuticals Ltd, Швейцария.",351 23.07.2018,30.08.2018 - 31.12.2022,Кардиология,Многоцентровое слепое рандомизированное исследование 3 фазы в параллельных группах c использованием апроцитентана у пациентов с резистентной артериальной гипертонией (PRECISION).,Протокол ID-080A301
Проводится,IIb,Москва,LCI699 (Озилодростат),Рекордати АГ,352 23.07.2018,23.07.2018 - 31.12.2022,Онкология,"Открытое многоцентровое исследование продолжения активной терапии с целью оценки долговременной безопасности у пациентов с эндогенным синдромом Кушинга, которые завершили свое участие в предыдущем исследовании озилодростата (препарат LCI699), спонсированном компанией Новартис, и, по мнению Исследователя, получат пользу от продленной терапии озилодростатом",Протокол CLCI699C2X01B
Проводится,III,"Москва, Санкт-Петербург",Барицитиниб (LY3009104),Эли Лилли энд Компани,360 25.07.2018,25.07.2018 - 31.12.2023,Дерматология,"Многоцентровое, двойное слепое, рандомизированное, плацебо-контролируемое исследование 3 фазы по оценке безопасности и эффективности барицитиниба в сочетании с кортикостероидами для местного применения у пациентов с умеренным или тяжелым атопическим дерматитом при неэффективности, непереносимости или наличии противопоказаний к терапии циклоспорином",Протокол I4V-MC-JAIN
Проводится,III,"Краснодар, Москва, Новосибирск, Санкт-Петербург, Смоленск","ATM + AVI, NXL104, AVE1330 (Азтреонам + Авибактам, Азактам + Авибактам)",«Пфайзер Инк.»,363 26.07.2018,26.07.2018 - 31.08.2023,"Анастезиология и реаниматология, Инфекционные болезни","Проспективное, рандомизированное, открытое, сравнительное исследование для определения эффективности, безопасности и переносимости азтреонама авибактама (ATM AVI) и наиболее эффективной доступной терапии для лечения серьезных инфекций, вызванных грамотрицательными бактериями с множественной лекарственной устойчивостью, продуцирующими металло бета лактамазу (MBL)",Протокол C3601009
Проводится,III,"Иваново, Москва, Подольск, Самара, Санкт-Петербург, Уфа, Челябинск",Пембролизумаб (MK-3475),Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),376 31.07.2018,31.07.2018 - 30.07.2023,Онкология,"Рандомизированное, двойное слепое исследование III фазы, сравнивающее трастузумаб плюс химиотерапия и пембролизумаб с трастузумабом плюс химиотерапия и плацебо в качестве первой линии терапии у пациентов с HER2-положительной распространенной аденокарциномой желудка или гастроэзофагеального соединения (KEYNOTE-811)",Протокол 811-01
Проводится,II,"Казань, Москва, Санкт-Петербург, Уфа",Пембролизумаб (MK-3475),Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),375 31.07.2018,31.07.2018 - 03.12.2022,Онкология,"Исследование II фазы по оценке пембролизумаба (MK-3475) в комбинации с двухкомпонентной химиотерапией на основе препаратов платины и лучевой терапии у пациентов с неоперабельным, местно-распространенным немелкоклеточным раком легкого (НМРЛ) III стадии (KEYNOTE-799)",Протокол 799-00
Проводится,III,"Москва, Новосибирск, Обнинск, Пятигорск, Санкт-Петербург, Саратов, Тула","Венетоклакс (ABT-199, Венклекста, Венкликсто)",ЭббВи Инк.,384 02.08.2018,02.08.2018 - 30.06.2024,"Гематология, Онкология","Мультицентровое, рандомизированное, 3 фазы открытое исследование Венетоклакса и Дексаметазона по сравнению с Помалидомидом и Дексаметазоном у участников с рецидивирующей или резистентной множественной миеломой с мутацией t(11;14)",Протокол M13-494
Проводится,III,"Казань, Москва, Санкт-Петербург, Смоленск, Ставрополь, Челябинск","QGE031 (Лигелизумаб, Лигелизумаб)",Новартис Фарма АГ,387 02.08.2018,02.08.2018 - 31.12.2022,"Дерматология, Аллергология и иммунология",Многоцентровое рандомизированное двойное слепое исследование с активной терапией и плацебо в качестве контроля для оценки эффективности и безопасности лигелизумаба (QGE031) у взрослых и подростков с хронической спонтанной крапивницей (ХСК) и отсутствием адекватного контроля на терапии блокаторами H1-гистаминовых рецепторов,Протокол CQGE031C2303
Проводится,II,"Всеволожск, Казань, Москва, Нижний Новгород, Пермь, Ростов-на-Дону, Рязань, Санкт-Петербург, Саратов, Смоленск, Энгельс, Ярославль",Фтортиазинон,Федеральное государственное бюджетное учреждение «Национальный исследовательский центр эпидемиологии и микробиологии имени почетного академика Н.Ф. Гамалеи» Министерства здравоохранения Российской Федерации (филиал «Медгамал» ФГБУ «НИЦЭМ им. Н.Ф. Гамалеи»,389 03.08.2018,03.08.2018 - 31.12.2023,Урология,"Многоцентровое, рандомизированное, слепое, плацебо- контролируемое исследование безопасности и эффективности препарата Фтортиазинон, таблетки 300 мг (ФГБУ НИЦЭМ им. Н.Ф. Гамалеи Минздрава России), в комбинации с препаратом Цефепим, порошок для приготовления раствора для внутривенного и внутримышечного введения 1 г.,  в сравнении с плацебо в комбинации с препаратом Цефепим, порошок для приготовления раствора для внутривенного и внутримышечного введения 1 г, при лечении  пациентов с осложненными инфекциями мочевыводящих путей, вызванными P. aeruginosa",Протокол 04-ФТ-2018
Проводится,III,"Москва, Ростов-на-Дону, Рязань, Санкт-Петербург, Саратов, Смоленск","QGE031 (Лигелизумаб, Лигелизумаб)",Новартис Фарма АГ,395 07.08.2018,07.08.2018 - 31.12.2022,"Дерматология, Аллергология и иммунология",Многоцентровое рандомизированное двойное слепое исследование с активной терапией и плацебо в качестве контроля для оценки эффективности и безопасности лигелизумаба (QGE031) у взрослых и подростков с хронической спонтанной крапивницей (ХСК) и отсутствием адекватного контроля на терапии блокаторами H1-гистаминовых рецепторов,Протокол CQGE031C2302
Проводится,II-III,—,"Рисанкизумаб (ABBV-066, BI655066)",ЭббВи Инк.,398 07.08.2018,07.08.2018 - 30.06.2023,"Гастроэнтерология, Иммунология","Многоцентровое, рандомизированное, двойное слепое, плацебо-контролируемое исследование по оценке эффективности и безопасности индукционной терапии препаратом Рисанкизумаб у пациентов с умеренным или тяжёлым активным язвенным колитом",Протокол M16-067
Проводится,IV,"Нижний Новгород, Рязань, Санкт-Петербург, Ярославль","Имбрувика (Ибрутиниб, PCI-32765)",Фармасайкликс Свитзерленд ГмбХ,393 07.08.2018,07.08.2018 - 02.08.2027,"Гематология, Онкология","Протокол продолжения лечения пациентов, для которых сохраняется польза от терапии ибрутинибом после завершения участия в клинических исследованиях ибрутиниба",Протокол PCYC-1145-LT
Проводится,Ib,"Барнаул, Москва, Санкт-Петербург, Уфа","Ленвима® (Ленватиниб, E7080); Китруда® (Пембролизумаб, МК-3475)",Eisai Ltd.,394 07.08.2018,31.08.2018 - 30.06.2022,Онкология,Открытое исследование фазы 1b ленватиниба в комбинации с пембролизумабом у пациентов с гепатоцеллюлярной карциномой,Протокол E7080-J081-116
Проводится,III,"Архангельск, Барнаул, Екатеринбург, Иваново, Калуга, Кемерово, Красноярск, Курск, Люберцы, Москва, Нижний Новгород, Новосибирск, Пенза, Пермь, Ростов-на-Дону, Самара, Санкт-Петербург, Саратов, Томск, Тула, Ярославль",CSL112 (Аполипопротеин А-I [человек]),КСЛ Беринг ЛЛС (CSL Behring LLC),401 08.08.2018,08.08.2018 - 31.12.2022,Кардиология,"Многоцентровое, двойное слепое, рандомизированное, плацебо-контролируемое, в параллельных группах исследование 3 фазы по изучению эффективности и безопасности препарата CSL112 у пациентов с острым коронарным синдромом",Протокол CSL112_3001
Проводится,III,"Архангельск, Балашиха, Барнаул, Волгоград, Казань, Кострома, Краснодар, Красноярск, Курск, Магнитогорск, Махачкала, Москва, Мурманск, Нижний Новгород, Новосибирск, Омск, Оренбург, Подольск, Пятигорск, Ростов-на-Дону, Рязань, Самара, Санкт-Петербург, Симферополь, Сочи, Томск, Уфа, Хабаровск, Челябинск, Ярославль",BCD-100,"ЗАО ""БИОКАД""",406 09.08.2018,09.08.2018 - 29.12.2023,"Онкология, Терапия (общая)",Международное многоцентровое рандомизированное двойное слепое плацебо-контролируемое клиническое исследование для оценки эффективности и безопасности BCD-100 в комбинации с пеметрекседом + цисплатином/карбоплатином в сравнении с плацебо в комбинации с пеметрекседом + цисплатином/карбоплатином в качестве первой линии терапии пациентов c распространенным неплоскоклеточным немелкоклеточным раком легкого (НМРЛ),Протокол BCD-100-3/DOMAJOR
Проводится,Биоэквивалентность,Москва,Телмисартан + Гидрохлоротиазид,Хетеро Лабс Лимитед,407 09.08.2018,09.08.2018 - 31.07.2022,Кардиология,"Открытое рандомизированное перекрестное в двух периодах исследование сравнительной фармакокинетики и биоэквивалентности препаратов, содержащих фиксированную комбинацию Телмисартана 80 мг и Гидрохлоротиазида 25 мг: Телмисартан + Гидрохлоротиазид, таблетки, 80 мг + 25 мг (ООО МАКИЗ-ФАРМА, Россия) и двух таблеток МикардисПлюс®, 40 мг + 12,5 мг (Берингер Ингельхайм Фарма ГмбХ и Ko.KГ, Германия), при однократном приеме натощак у здоровых добровольцев",Протокол TELH-BE-02-2018
Проводится,IV,Ставрополь,Аллерген из пыльцы березы висячей для диагностики и лечения,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)",652 14.12.2017,14.12.2017 - 30.12.2022,Аллергология и иммунология,Изучение специфической активности Аллергена из пыльцы березы висячей для диагностики и лечения в соответствии с требованиями ОФС Аллергены для аттестации в качестве стандартного образца предприятия,Протокол АСО-БЕР-IV-00-003/2017
Проводится,III,—,Пембролизумаб/Эпакадостат (MK-3475/INCB024360),Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.)/«Инсайт Корпорейшн»,656 15.12.2017,15.12.2017 - 30.07.2023,Онкология,"Рандомизированное открытое исследование III фазы с целью оценки эффективности и безопасности пембролизумаба (препарата MK-3475) в комбинации с эпакадостатом, по сравнению со стандартным лечением (сунитинибом или пазопанибом), в качестве первой линии лечения местнораспространённого или метастатического почечноклеточного рака (мПКР) (KEYNOTE-679/ECHO-302)",Протокол 679-00
Проводится,III,"Архангельск, Москва, Обнинск, Санкт-Петербург, Саратов, Тверь","Атезолизумаб (RO5541267, Тецентрик)",Ф.Хоффманн-Ля Рош Лтд.,665 19.12.2017,20.12.2017 - 31.12.2024,Онкология,"Многоцентровое, рандомизированное, двойное слепое, плацебо-контролируемое, исследование III фазы по оценке эффективности и безопасности атезолизумаба в комбинации с химиотерапией у пациентов с быстро прогрессирующим (неоперабельным местно-распространенным или метастатическим) тройным негативным раком молочной железы",Протокол MO39193
Проводится,III,"Казань, Москва, Ярославль",MK-3475 (Пембролизумаб),Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),666 19.12.2017,19.12.2017 - 30.07.2023,Онкология,"Рандомизированное, открытое исследование III фазы по оценке пембролизумаба, применяемого в режиме неоадъювантной терапии и в комбинации со стандартным лечением в режиме адъювантной терапии у пациентов с операбельной местно-регионарно распространенной плоскоклеточной карциномой головы и шеи (МР ПККГШ) III-IVA стадии",Протокол 689-00
Проводится,IV,Ставрополь,Аллерген из пыльцы лебеды татарской для диагностики и лечения,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)",680 21.12.2017,21.12.2017 - 30.12.2022,Аллергология и иммунология,Изучение специфической активности Аллергена из пыльцы лебеды татарской для диагностики и лечения в соответствии с требованиями ОФС Аллергены для аттестации в качестве стандартного образца предприятия,Протокол АСО-ЛЕБ-IV-00-010/2017
Проводится,IV,Ставрополь,Аллерген из пыльцы овсяницы луговой для диагностики и лечения,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)",675 21.12.2017,21.12.2017 - 30.12.2022,Аллергология и иммунология,Изучение специфической активности Аллергена из пыльцы овсяницы луговой для диагностики и лечения в соответствии с требованиями ОФС Аллергены для аттестации в качестве стандартного образца предприятия,Протокол АСО-ОВС-IV-00-013/2017
Проводится,IV,Ставрополь,Аллерген из пыльцы амброзии полыннолистной для диагностики и лечения,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)",679 21.12.2017,21.12.2017 - 30.12.2022,Аллергология и иммунология,Изучение специфической активности Аллергена из пыльцы амброзии полыннолистной  для диагностики и лечения в соответствии с требованиями ОФС Аллергены для аттестации в качестве стандартного образца предприятия,Протокол АСО-АМБ-IV-00-002/2017
Проводится,III,"Волгоград, Воронеж, Краснодар, Москва, Омск, Пенза, Пермь, Самара, Санкт-Петербург, Саранск, Саратов, Томск, Уфа, Ярославль",Флутиказона фуроат (GW685698)/Вилантерол (GW642444) (Релвар Эллипта),ГлаксоСмитКляйн Ресеч энд Девелопмент Лимитед,693 27.12.2017,27.12.2017 - 23.06.2023,"Педиатрия, Аллергология и иммунология, Пульмонология","Рандомизированное, двойное слепое, многоцентровое, стратифицированное исследование в параллельных группах для оценки эффективности и безопасности порошка для ингаляций флутиказона фуроата/вилантерола при однократном ежедневном приёме в сравнении с порошком для ингаляций флутиказона фуроатом при однократном ежедневном приёме при лечении пациентов в возрасте от 5 до 17 лет (включительно) с бронхиальной астмой, в настоящее время не поддающейся контролю ингаляционными кортикостероидами.",Протокол HZA107116
Проводится,III,"Волгоград, Екатеринбург, Иркутск, Казань, Калуга, Кемерово, Москва, Нижний Новгород, Пермь, Рязань, Самара, Санкт-Петербург, Сочи, Тула",Занубрутиниб (BGB-3111),"БейДжин, Лтд.",695 27.12.2017,27.12.2017 - 30.09.2022,"Гематология, Онкология","Международное открытое рандомизированное исследование фазы 3 для сравнения препарата BGB-3111 с комбинацией бендамустина и ритуксимаба у пациентов с хроническим лимфоцитарным лейкозом или мелкоклеточной лимфоцитарной лимфомой, ранее не получавших лечение",Протокол BGB-3111-304
Проводится,III,"Вологда, Казань, Москва, Ростов-на-Дону, Рязань, Самара, Санкт-Петербург, Смоленск, Томск",HDM SLIT-таблетка,АЛК-Абелло А/С,17 18.01.2018,18.01.2018 - 30.06.2022,"Педиатрия, Аллергология и иммунология, Пульмонология",Исследование 3-й фазы по оценке эффективности и безопасности специфической иммунотерапии аллергенами клещей домашней пыли в виде таблеток для сублингвального применения (СЛИТ) у детей и подростков (5-17 лет) с аллергической астмой на клещей домашней пыли.,Протокол MT-11
Проводится,III,"Екатеринбург, Казань, Москва, Санкт-Петербург, Саратов, Тольятти, Уфа","Тофацитиниб (CP-690550; CP-690,550-10, тофацитиниба цитрат, Яквинус)",Пфайзер Инк.,16 18.01.2018,18.01.2018 - 10.06.2022,"Педиатрия, Ревматология","Эффективность, безопасность, переносимость и фармакокинетика препарата Тофацитиниб при лечении детей и подростков с системным ювенильным идиопатическим артритом с активными системными проявлениями.",Протокол A3921165
Проводится,II,Москва,RO7034067,Ф.Хоффманн-Ля Рош Лтд.,19 22.01.2018,22.01.2018 - 01.03.2024,"Педиатрия, Неврология","Открытое многоцентровое исследование, разделенное на 2 части с непосредственным переходом одной в другую, для оценки безопасности, переносимости, фармакокинетики, фармакодинамики и эффективности препарата рисдиплам (RO7034067) у младенцев со спинальной мышечной атрофией типа 1",Протокол BP39056
Проводится,IV,Ставрополь,Аллерген из пыльцы клена ясенелистного для диагностики и лечения,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)",24 24.01.2018,24.01.2018 - 30.12.2022,Аллергология и иммунология,Изучение специфической активности Аллергена из пыльцы клена ясенелистного  для диагностики и лечения в соответствии с требованиями ОФС Аллергены для аттестации в качестве стандартного образца предприятия,Протокол АСО-КЛЕ-IV-00-006/2017
Проводится,IV,Ставрополь,Аллерген из пыльцы ежи сборной для диагностики и лечения,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)",25 24.01.2018,24.01.2018 - 30.12.2022,Аллергология и иммунология,Изучение специфической активности Аллергена из пыльцы ежи сборной  для диагностики и лечения в соответствии с требованиями ОФС Аллергены для аттестации в качестве стандартного образца предприятия,Протокол АСО-ЕЖА-IV-00-005/2017
Проводится,IV,Ставрополь,Аллерген из пыльцы дуба черешчатого  для диагностики и лечения,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)",26 24.01.2018,24.01.2018 - 30.12.2022,Аллергология и иммунология,Изучение специфической активности Аллергена из пыльцы дуба черешчатого для диагностики и лечения в соответствии с требованиями ОФС Аллергены для аттестации в качестве стандартного образца предприятия,Протокол АСО-ДУБ-IV-00-004/2017
Проводится,III,"Архангельск, Екатеринбург, Иваново, Краснодар, Красноярск, Москва, Нижний Новгород, Новосибирск, Обнинск, Омск, Санкт-Петербург, Томск","Тецентрик (Атезолизумаб, RO5541267)",Ф.Хоффманн-Ля Рош Лтд.,39 02.02.2018,02.02.2018 - 01.02.2025,Онкология,"Многоцентровое, рандомизированное, двойное-слепое, плацебо-контролируемое исследование III фазы препарата Атезолизумаб (анти-PDL1-антитело) в качестве адъювантной терапии после радикального лечения у пациентов с местно-распространённой плоскоклеточной карциномой головы и шеи высокого риска",Протокол WO40242
Проводится,III,"Дзержинск, Ижевск, Казань, Кемерово, Москва, Нижний Новгород, Пермь, Петрозаводск, Рязань, Самара, Санкт-Петербург, Сыктывкар",JNJ-54767414 (Даратумумаб),Янссен Фармацевтика НВ,45 06.02.2018,06.02.2018 - 09.02.2024,Гематология,"Рандомизированное, многоцентровое исследование III фазы сравнения даратумумаба в виде подкожных инъекций и активного наблюдения у пациентов с вялотекущей множественной миеломой высокого риска",Протокол 54767414SMM3001
Проводится,III,"Москва, Санкт-Петербург",Певонедистат (TAK-924/MLN4924),Такеда Девелопмент Центр Америкас Инк.,51 08.02.2018,08.02.2018 - 30.11.2023,Гематология,"Открытое, рандомизированное, контролируемое клиническое исследование 3-й фазы, в котором певонедистат в комбинации с азацитидином сравнивается с монотерапией азацитидином в качестве первой линии терапии у пациентов с миелодиспластическими синдромами или хроническим миеломоноцитарным лейкозом с более высоким прогностическим риском, или острым миелолейкозом с низким количеством бластов.",Протокол Pevonedistat-3001
Проводится,III,"Барнаул, Казань, Москва, Обнинск, Санкт-Петербург, Томск, Челябинск",MK-3475 (Пембролизумаб),Мерк Шарп и Доум Корп. (подразделение компании Мерк и Ко. Инк.),56 12.02.2018,12.02.2018 - 30.07.2023,Онкология,"Рандомизированное двойное слепое исследование III фазы с целью сравнения комбинации пембролизумаба с химиотерапией и комбинации плацебо с химиотерапией препаратами платины в качестве неоадъювантной терапии, и сравнения пембролизумаба с плацебо как адъювантной терапии у пациентов с немелкоклеточным операбельным раком легкого II, IIIA и IIIB (T3-4N2) стадии (KEYNOTE-671)",Протокол 671-00
Проводится,III,"Казань, Москва, Нижний Новгород, Новосибирск, Омск, Ростов-на-Дону, Самара, Санкт-Петербург, Саратов, Смоленск, Ставрополь, Тюмень","SHP647 (, SHP647)","Шайер Хьюман Дженетик Терапиз, Инк. / Shire Human Genetic Therapies, Inc.",64 19.02.2018,19.02.2018 - 31.08.2024,Гастроэнтерология,Долгосрочное расширенное исследование фазы 3 для оценки безопасности препарата SHP647 у пациентов с язвенным колитом или болезнью Крона средней или тяжелой степени тяжести (АIDA),Протокол SHP647-304
Проводится,IV,Ставрополь,Аллерген из пыльцы мятлика лугового для диагностики и лечения,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)",70 20.02.2018,20.02.2018 - 30.12.2022,Аллергология и иммунология,Изучение специфической активности Аллергена из пыльцы мятлика лугового  для диагностики и лечения в соответствии с требованиями ОФС Аллергены для аттестации в качестве стандартного образца предприятия,Протокол АСО-МЯТ-IV-00-012/2017
Проводится,IV,Ставрополь,Аллерген из пыльцы орешника (лещины обыкновенной) для диагностики и лечения,"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским иммунобиологическим препаратам «Микроген» Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)",71 20.02.2018,20.02.2018 - 30.12.2022,Аллергология и иммунология,Изучение специфической активности Аллергена из пыльцы орешника (лещины обыкновенной) для диагностики и лечения в соответствии с требованиями ОФС Аллергены для аттестации в качестве стандартного образца предприятия,Протокол АСО-ОРЕ-IV-00-016/2017
